rank,number,background,body,hat,accessory,score
163,713,22.089,32.065,33.133,31.062,118.349
164,335,17.75,33.133,33.133,34.276,118.292
165,12,24.244,35.5,30.121,28.4,118.265
166,266,19.115,29.235,30.121,39.76,118.231
167,773,22.089,25.487,41.417,29.235,118.228
168,590,23.667,30.121,26.158,38.231,118.177
169,970,22.089,39.76,24.244,32.065,118.158
170,558,19.49,34.276,26.158,38.231,118.155
171,613,19.115,35.5,34.276,29.235,118.126
172,190,23.667,28.4,36.815,29.235,118.117
173,308,23.667,29.235,32.065,33.133,118.1
174,811,23.667,30.121,33.133,31.062,117.983
175,120,19.49,39.76,27.611,31.062,117.923
176,487,24.244,38.231,29.235,26.158,117.868
177,511,24.244,29.235,26.158,38.231,117.868
178,378,17.75,38.231,27.611,34.276,117.868
179,650,24.244,28.4,33.133,32.065,117.842
180,221,24.244,32.065,28.4,33.133,117.842
181,940,18.407,24.85,33.133,41.417,117.807
182,646,20.286,29.235,26.865,41.417,117.803
183,738,17.75,24.244,34.276,41.417,117.687
184,554,19.115,38.231,29.235,31.062,117.643
185,53,24.244,30.121,33.133,30.121,117.619
186,39,20.708,38.231,27.611,31.062,117.612
187,261,19.115,35.5,36.815,26.158,117.588
188,551,21.149,30.121,33.133,33.133,117.536
189,604,19.115,32.065,32.065,34.276,117.521
190,80,21.149,32.065,33.133,31.062,117.409
191,175,20.286,29.235,36.815,31.062,117.398
192,470,22.089,33.133,31.062,31.062,117.346
193,217,22.089,31.062,31.062,33.133,117.346
194,852,20.286,30.121,41.417,25.487,117.311
195,454,22.089,31.062,32.065,32.065,117.281
196,904,19.115,38.231,36.815,23.116,117.277
197,344,19.115,36.815,30.121,31.062,117.113
198,51,17.75,34.276,23.667,41.417,117.11
199,486,23.667,29.235,33.133,31.062,117.097
200,226,19.115,35.5,24.244,38.231,117.09
201,767,22.089,35.5,36.815,22.591,116.995
202,233,17.75,24.244,47.333,27.611,116.938
203,971,19.49,29.235,28.4,39.76,116.885
204,606,22.089,24.85,30.121,39.76,116.82
205,992,17.75,39.76,33.133,26.158,116.801
206,753,17.75,30.121,36.815,32.065,116.751
207,630,20.286,30.121,32.065,34.276,116.748
208,984,24.244,30.121,33.133,29.235,116.733
209,869,17.75,25.487,32.065,41.417,116.719
210,608,17.75,36.815,31.062,31.062,116.689
211,824,20.286,30.121,24.85,41.417,116.674
212,358,24.244,29.235,32.065,31.062,116.606
213,79,19.49,36.815,31.062,29.235,116.602
214,815,19.49,24.244,47.333,25.487,116.554
215,898,17.138,31.062,30.121,38.231,116.552
216,8,22.089,32.065,33.133,29.235,116.522
217,964,22.089,29.235,33.133,32.065,116.522
